"kmer.id" "j.counts" "genome" "sc3" "dif" "per" "esp_array"
"9729" "6991_2" 2 1396 796 600 0.570200573065903 365.666666666667
"9730" "6992_1" 1 2 2 0 1 1.66666666666667
"9731" "6993_1" 1 1 1 0 1 1
"9732" "6994_2" 2 17 17 0 1 6
"9733" "6995_1" 1 1 1 0 1 1
"9734" "6996_2" 2 2 2 0 1 1
"9735" "6997_1" 1 68 68 0 1 45.6666666666667
"9736" "6999_2" 2 6 4 2 0.666666666666667 2
"9737" "7_2" 2 83 83 0 1 28
"9738" "70_1" 1 5 5 0 1 3.66666666666667
"9739" "700_2" 2 125 70 55 0.56 32.8333333333333
"9740" "7000_1" 1 5 3 2 0.6 3
"9741" "7001_2" 2 92 35 57 0.380434782608696 21.5
"9742" "7002_1" 1 3 2 1 0.666666666666667 2
"9743" "7003_1" 1 1 1 0 1 1
"9744" "7004_51" 51 52 52 0 1 1.01307189542484
"9745" "7005_2" 2 102 40 62 0.392156862745098 24
"9746" "7006_2" 2 437 250 187 0.5720823798627 114.833333333333
"9747" "7007_1" 1 2 1 1 0.5 1.33333333333333
"9748" "7008_4" 4 1220 478 742 0.391803278688525 141.833333333333
"9749" "7009_2" 2 830 342 488 0.412048192771084 195.666666666667
"9750" "701_2" 2 57 57 0 1 19.3333333333333
"9751" "7011_2" 2 757 441 316 0.582562747688243 200
"9752" "7012_2" 2 2 2 0 1 1
"9753" "7013_1" 1 1 1 0 1 1
"9754" "7014_1" 1 2 2 0 1 1.66666666666667
"9755" "7015_4" 4 2091 1068 1023 0.510760401721664 263.583333333333
"9756" "7016_1" 1 150 55 95 0.366666666666667 68.6666666666667
"9757" "7017_1" 1 1 1 0 1 1
"9758" "7018_4" 4 180 68 112 0.377777777777778 21
"9759" "7019_2" 2 834 476 358 0.570743405275779 218.666666666667
"9760" "702_1" 1 1 1 0 1 1
"9761" "7020_3" 3 3 3 0 1 1
"9762" "7021_2" 2 711 266 445 0.374120956399437 163.166666666667
"9763" "7022_2" 2 675 433 242 0.641481481481481 185
"9764" "7024_1" 1 1 1 0 1 1
"9765" "7025_1" 1 108 85 23 0.787037037037037 64.6666666666667
"9766" "7026_1" 1 1 1 0 1 1
"9767" "7027_2" 2 71 65 6 0.915492957746479 23
"9768" "7028_2" 2 703 443 260 0.630156472261735 191.333333333333
"9769" "7029_1" 1 807 484 323 0.599752168525403 430.666666666667
"9770" "703_26" 26 64 64 0 1 1.97435897435897
"9771" "7030_2" 2 102 40 62 0.392156862745098 24
"9772" "7031_1" 1 1 1 0 1 1
"9773" "7032_2" 2 894 529 365 0.5917225950783 237.5
"9774" "7033_1" 1 1 1 0 1 1
"9775" "7034_2" 2 53 53 0 1 18
"9776" "7035_1" 1 83 22 61 0.265060240963855 35.3333333333333
"9777" "7036_5" 5 65 65 0 1 9
"9778" "7037_2" 2 713 385 328 0.539971949509116 183.333333333333
"9779" "7038_83" 83 84 84 0 1 1.00803212851406
"9780" "7039_2" 2 1684 956 728 0.567695961995249 440.333333333333
"9781" "704_74" 74 481 226 255 0.46985446985447 3.51801801801802
"9782" "7040_5" 5 7 5 2 0.714285714285714 1.13333333333333
"9783" "7041_1" 1 1 1 0 1 1
"9784" "7042_2" 2 80 80 0 1 27
"9785" "7043_2" 2 53 39 14 0.735849056603774 15.6666666666667
"9786" "7044_3" 3 4 4 0 1 1.22222222222222
"9787" "7045_33" 33 37 37 0 1 1.08080808080808
"9788" "7046_1" 1 75 75 0 1 50.3333333333333
"9789" "7047_2" 2 1554 884 670 0.568854568854569 406.666666666667
"9790" "7048_1" 1 336 126 210 0.375 154.333333333333
"9791" "7049_1" 1 1 1 0 1 1
"9792" "705_1" 1 1 1 0 1 1
"9793" "7050_2" 2 621 348 273 0.560386473429952 161.833333333333
"9794" "7051_1" 1 2 1 1 0.5 1.33333333333333
"9795" "7052_2" 2 881 526 355 0.597048808172531 234.833333333333
"9796" "7053_2" 2 2 2 0 1 1
"9797" "7054_1" 1 1 1 0 1 1
"9798" "7056_1" 1 1 1 0 1 1
"9799" "7057_2" 2 4 4 0 1 1.66666666666667
"9800" "7058_1" 1 1 1 0 1 1
"9801" "706_2" 2 744 433 311 0.581989247311828 196.5
"9802" "7060_1" 1 78 76 2 0.974358974358974 51.6666666666667
"9803" "7061_1" 1 9 6 3 0.666666666666667 5.33333333333333
"9804" "7062_1" 1 72 72 0 1 48.3333333333333
"9805" "7063_19" 19 22 22 0 1 1.10526315789474
"9806" "7064_2" 2 1461 754 707 0.516084873374401 369.5
"9807" "7065_1" 1 2 2 0 1 1.66666666666667
"9808" "7067_2" 2 1284 728 556 0.566978193146417 335.666666666667
"9809" "7068_4" 4 33 16 17 0.484848484848485 4.41666666666667
"9810" "7069_1" 1 1 1 0 1 1
"9811" "707_66" 66 69 69 0 1 1.03030303030303
"9812" "7070_2" 2 54 21 33 0.388888888888889 12.8333333333333
"9813" "7071_4" 4 4 4 0 1 1
"9814" "7072_2" 2 1099 619 480 0.563239308462238 286.666666666667
"9815" "7073_4" 4 4 4 0 1 1
"9816" "7074_1" 1 82 79 3 0.963414634146341 54
"9817" "7075_2" 2 7 2 5 0.285714285714286 1.83333333333333
"9818" "7076_79" 79 88 84 4 0.954545454545455 1.05907172995781
"9819" "7077_1" 1 76 76 0 1 51
"9820" "7078_2" 2 381 207 174 0.543307086614173 98.3333333333333
"9821" "7079_2" 2 481 268 213 0.557172557172557 125.166666666667
"9822" "708_2" 2 945 581 364 0.614814814814815 254.666666666667
"9823" "7080_2" 2 230 112 118 0.48695652173913 57.3333333333333
"9824" "7081_4" 4 3826 1846 1980 0.482488238369054 473
"9825" "7083_1" 1 1 1 0 1 1
"9826" "7084_2" 2 911 552 359 0.605927552140505 244.166666666667
"9827" "7085_1" 1 1 1 0 1 1
"9828" "7086_1" 1 41 40 1 0.975609756097561 27.3333333333333
"9829" "7088_2" 2 928 559 369 0.602370689655172 248.166666666667
"9830" "7089_2" 2 1094 610 484 0.557586837294333 284.333333333333
"9831" "7090_2" 2 19 12 7 0.631578947368421 5.5
"9832" "7091_2" 2 369 194 175 0.525745257452574 94.1666666666667
"9833" "7092_52" 52 53 53 0 1 1.01282051282051
"9834" "7093_1" 1 1 1 0 1 1
"9835" "7094_3" 3 3 3 0 1 1
"9836" "7095_1" 1 106 80 26 0.754716981132076 62.3333333333333
"9837" "7096_4" 4 71 71 0 1 12.1666666666667
"9838" "7097_2" 2 1355 700 655 0.516605166051661 342.833333333333
"9839" "7098_18" 18 18 18 0 1 1
"9840" "7099_1" 1 1 1 0 1 1
"9841" "71_2" 2 912 561 351 0.615131578947368 245.833333333333
