Cas9	RpL19
31.90275002	14.30919743
31.19195938	14.65009594
27.15000725	14.39269209
20.84565926	15.19313002
21.9526453	15.19170046
19.98850632	15.54960346
22.16915035	14.92881393
22.58853436	14.75204849
22.15362549	14.92581606
23.96612549	15.65248442
23.45940208	15.32712984
22.58228588	14.8348465
22.97574425	14.46713543
22.43780613	14.52173471
22.1867485	14.50327826
22.16631889	14.55403852
23.00871658	14.53087711
22.41201401	14.64283037
20.01673794	17.36347771
20.7225666	18.15716076
20.38344574	17.7930727
