full_name	sub_name	section	repeatmasker_type	repeatmasker_subtype	repeatmasker_section	repeatmasker_subsection	repeatmasker_name
Interspersed_Repeat	Transposable_Element	DNA_Transposon	Circular_dsDNA_Intermediate	Circular_dsDNA_Intermediate	Circular_dsDNA_Intermediate	Circular_dsDNA_Intermediate	Crypton
Interspersed_Repeat	Transposable_Element	DNA_Transposon	DNA_Polymerase	DNA_Polymerase	DNA_Polymerase	DNA_Polymerase	Maverick
Interspersed_Repeat	Transposable_Element	DNA_Transposon	RC	RC	RC	RC	Helitron-1
Interspersed_Repeat	Transposable_Element	DNA_Transposon	RC	RC	RC	RC	Helitron-2
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	Academ_Group
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	CACTA_element
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	Dada
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	DNA_pol
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	Ginger
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	hAT_Element
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	IS3EU
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	Kolobok_Group
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	Merlin
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	Mutator-like_Element
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	Novosib
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	P_Element
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	PIF-like_Elements
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	PiggyBac-like_element
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	Sola-group
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	Tc1-Mariner-like_Element
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	Zator
Interspersed_Repeat	Transposable_Element	DNA_Transposon	TIR	TIR	TIR	TIR	Zisupton
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-I	Group-I	Ambal
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-I	Group-I	CRE
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-I	Group-I	Odin
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-II	Group-II	Genie
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-1	L1-like	DRE
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-1	L1-like	L1
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-1	L1-like	Tx1
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-1	L1-like	Zorro
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-1	Proto-1	Proto-1
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-1	R2-like	Hero
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-1	Proto-2	NeSL
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-1	R2-like	R2
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-1	R4-like	Deceiver
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-1	R4-like	Dong-R4
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-1	R4-like	Dualen
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-2	Proto-2	Proto-2
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-2	R1-like	Zenon
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-2	R1-like	L2
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-2	R1-like	Rex-Babar
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-2	R1-like	I-group
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-2	R1-like	R1-subgroup
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-2	R1-like	Tad1
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-2	RTE-like	ORTE
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-2	RTE-like	BovB
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-2	RTE-like	RTE
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE	LINE	Group-2	RTE-like	RTE-X
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	Lacking_Small_RNA_pol_III_Promoter	I-derived	I-derived	I-derived
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	Lacking_Small_RNA_pol_III_Promoter	L1-dependent	SVA	SVA
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	Lacking_Small_RNA_pol_III_Promoter	L1-derived	L1-derived	L1-derived
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	Lacking_Small_RNA_pol_III_Promoter	L2-derived	L2-derived	L2-derived
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	Lacking_Small_RNA_pol_III_Promoter	R4-derived	R4-derived	R4-derived
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	Lacking_Small_RNA_pol_III_Promoter	RTE-derived	RTE-derived	RTE-derived
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	5S-RNA_Promoter	Deu-core	L2-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	5S-RNA_Promoter	Deu-core	Unknown_LINE-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	5S-RNA_Promoter	MIR-core	RTE-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	5S-RNA_Promoter	No_or_Unknown_Core	RTE-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	5S-RNA_Promoter	Sauria-core	RTE-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	7SL-RNA_Promoter	7SL-RNA_Promoter	Alu
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_and_5S_RNA	No_or_Unknown_Core	Unknown_LINE-dependent
