kmer_id	Contig
kmer_186703517.0	Contig_2
kmer_340177046.0	Contig_2
kmer_145170533.0	Contig_2
kmer_63407217.0	Contig_2
kmer_481587819.0	Contig_2
kmer_372457390.0	Contig_2
kmer_462807933.0	Contig_2
kmer_499162661.0	Contig_2
kmer_268564883.0	Contig_2
kmer_525652570.0	Contig_2
kmer_398591773.0	Contig_2
kmer_332515863.0	Contig_2
kmer_247428520.0	Contig_2
kmer_105447588.0	Contig_2
kmer_298692397.0	Contig_2
kmer_418719634.0	Contig_2
kmer_208204615.0	Contig_2
kmer_468287913.0	Contig_2
kmer_380955605.0	Contig_2
kmer_161621023.0	Contig_2
kmer_69494723.0	Contig_2
kmer_84371344.0	Contig_2
kmer_199386077.0	Contig_2
kmer_453980572.0	Contig_2
kmer_456661850.0	Contig_2
kmer_456791131.0	Contig_2
kmer_454005927.0	Contig_2
kmer_490531940.0	Contig_2
kmer_170724397.0	Contig_2
kmer_395340261.0	Contig_2
kmer_16194807.0	Contig_2
kmer_34341675.0	Contig_2
kmer_77936207.0	Contig_2
kmer_182778201.0	Contig_2
kmer_387816950.0	Contig_2
kmer_272447783.0	Contig_2
kmer_382734110.0	Contig_2
kmer_347019989.0	Contig_2
kmer_436730825.0	Contig_2
kmer_354929349.0	Contig_2
kmer_419050827.0	Contig_2
kmer_211173050.0	Contig_2
kmer_472587958.0	Contig_2
kmer_232591546.0	Contig_2
kmer_495576697.0	Contig_2
kmer_404685386.0	Contig_2
kmer_62974580.0	Contig_2
kmer_143922620.0	Contig_2
kmer_316767179.0	Contig_2
kmer_330571136.0	Contig_2
kmer_143003626.0	Contig_2
kmer_79885596.0	Contig_2
kmer_176086337.0	Contig_2
kmer_309983183.0	Contig_2
kmer_132811222.0	Contig_2
kmer_333456068.0	Contig_2
kmer_310490411.0	Contig_2
kmer_179077116.0	Contig_2
kmer_257198241.0	Contig_2
kmer_195592688.0	Contig_2
kmer_376950530.0	Contig_2
kmer_159823809.0	Contig_2
kmer_180786490.0	Contig_2
kmer_420442607.0	Contig_2
kmer_229179610.0	Contig_2
kmer_494069503.0	Contig_2
kmer_218619293.0	Contig_2
kmer_370530721.0	Contig_2
kmer_70626829.0	Contig_2
kmer_164600007.0	Contig_2
kmer_388052891.0	Contig_2
kmer_268912621.0	Contig_2
kmer_115205628.0	Contig_2
kmer_409387897.0	Contig_2
kmer_352427934.0	Contig_2
kmer_340858521.0	Contig_2
kmer_145460226.0	Contig_2
kmer_304757156.0	Contig_2
kmer_487595754.0	Contig_2
kmer_136658392.0	Contig_2
kmer_267732281.0	Contig_2
kmer_228274942.0	Contig_2
kmer_448484378.0	Contig_2
kmer_207623046.0	Contig_2
kmer_154061737.0	Contig_2
kmer_66541231.0	Contig_2
kmer_405008250.0	Contig_2
kmer_293679729.0	Contig_2
kmer_66448322.0	Contig_2
kmer_153834652.0	Contig_2
kmer_146333119.0	Contig_2
kmer_63797331.0	Contig_2
kmer_293219084.0	Contig_2
kmer_56791535.0	Contig_3
kmer_125995899.0	Contig_3
kmer_292610481.0	Contig_3
kmer_60323007.0	Contig_3
kmer_135619523.0	Contig_3
kmer_278983161.0	Contig_3
kmer_217759001.0	Contig_3
kmer_481030456.0	Contig_3
kmer_55572278.0	Contig_3
kmer_123380149.0	Contig_3
kmer_286679620.0	Contig_3
kmer_14102343.0	Contig_3
kmer_29248901.0	Contig_3
kmer_65138449.0	Contig_3
kmer_150247961.0	Contig_3
kmer_352758655.0	Contig_3
kmer_410711908.0	Contig_3
kmer_132014419.0	Contig_3
kmer_274308285.0	Contig_3
kmer_117657104.0	Contig_3
kmer_52941590.0	Contig_3
kmer_24292474.0	Contig_3
kmer_11974548.0	Contig_3
kmer_6657856.0	Contig_3
kmer_4155556.0	Contig_3
kmer_402907196.0	Contig_3
kmer_41136116.0	Contig_3
kmer_93474465.0	Contig_3
kmer_218913858.0	Contig_3
kmer_361658678.0	Contig_3
kmer_75288143.0	Contig_3
kmer_176033008.0	Contig_3
kmer_411565033.0	Contig_3
kmer_141841493.0	Contig_3
kmer_331683034.0	Contig_3
kmer_201178379.0	Contig_3
kmer_129538181.0	Contig_3
kmer_301744594.0	Contig_3
kmer_129125275.0	Contig_3
kmer_82941851.0	Contig_3
kmer_36291542.0	Contig_3
kmer_284850888.0	Contig_3
kmer_425967569.0	Contig_3
kmer_515141486.0	Contig_3
kmer_527009475.0	Contig_3
kmer_528883596.0	Contig_3
kmer_528051791.0	Contig_3
kmer_282968859.0	Contig_3
kmer_482836531.0	Contig_3
kmer_80569576.0	Contig_3
kmer_189639420.0	Contig_3
kmer_231761620.0	Contig_3
kmer_356904025.0	Contig_3
kmer_426535368.0	Contig_3
kmer_293294265.0	Contig_3
kmer_64266440.0	Contig_3
kmer_147822042.0	Contig_3
kmer_236200888.0	Contig_3
kmer_380613081.0	Contig_3
kmer_231655286.0	Contig_3
kmer_349863546.0	Contig_3
kmer_180860671.0	Contig_3
kmer_77203470.0	Contig_3
kmer_34058150.0	Contig_3
kmer_479106641.0	Contig_3
kmer_425656936.0	Contig_3
kmer_287382787.0	Contig_3
kmer_20232446.0	Contig_3
kmer_43615143.0	Contig_3
kmer_53122453.0	Contig_3
kmer_24382647.0	Contig_3
kmer_287823687.0	Contig_3
kmer_229002639.0	Contig_3
kmer_140796048.0	Contig_3
kmer_216886456.0	Contig_3
kmer_446618301.0	Contig_3
kmer_43737431.0	Contig_3
kmer_98674871.0	Contig_3
kmer_198930140.0	Contig_3
kmer_417673635.0	Contig_3
kmer_232745144.0	Contig_3
kmer_150920073.0	Contig_3
kmer_65382878.0	Contig_3
kmer_293481932.0	Contig_3
kmer_330190126.0	Contig_3
kmer_336943237.0	Contig_3
kmer_433550888.0	Contig_3
kmer_358741625.0	Contig_3
kmer_54773003.0	Contig_3
kmer_121678971.0	Contig_3
kmer_283186019.0	Contig_3
kmer_527380942.0	Contig_3
kmer_273185191.0	Contig_3
kmer_117154587.0	Contig_3
kmer_52713229.0	Contig_3
kmer_291305708.0	Contig_3
kmer_125352211.0	Contig_3
kmer_410180254.0	Contig_3
kmer_338605332.0	Contig_3
kmer_339783079.0	Contig_3
kmer_346801616.0	Contig_3
kmer_200448945.0	Contig_3
kmer_417861286.0	Contig_3
kmer_162901847.0	Contig_4
kmer_78134656.0	Contig_4
kmer_183267317.0	Contig_4
kmer_425275711.0	Contig_4
kmer_198430248.0	Contig_4
kmer_314669560.0	Contig_4
kmer_334278769.0	Contig_4
kmer_142860315.0	Contig_4
kmer_411669970.0	Contig_4
kmer_446647335.0	Contig_4
kmer_396155631.0	Contig_4
kmer_468332161.0	Contig_4
kmer_208237387.0	Contig_4
kmer_88234328.0	Contig_4
kmer_38426375.0	Contig_4
kmer_266571208.0	Contig_4
kmer_458155503.0	Contig_4
kmer_201853271.0	Contig_4
kmer_268027313.0	Contig_4
kmer_461115863.0	Contig_4
kmer_454742239.0	Contig_4
kmer_315929249.0	Contig_4
kmer_205669052.0	Contig_4
kmer_464531581.0	Contig_4
kmer_269546866.0	Contig_4
kmer_115473679.0	Contig_4
kmer_51972667.0	Contig_4
kmer_388016777.0	Contig_4
kmer_518642370.0	Contig_4
kmer_390251328.0	Contig_4
kmer_443240038.0	Contig_4
kmer_193305766.0	Contig_4
kmer_333134347.0	Contig_4
kmer_308752599.0	Contig_4
kmer_168446793.0	Contig_4
kmer_396288157.0	Contig_4
kmer_475248958.0	Contig_4
kmer_371213253.0	Contig_4
kmer_489472495.0	Contig_4
kmer_158592174.0	Contig_4
kmer_374231730.0	Contig_4
kmer_456907443.0	Contig_4
kmer_145466388.0	Contig_4
kmer_256598919.0	Contig_4
kmer_109482014.0	Contig_4
kmer_409644118.0	Contig_4
kmer_118186506.0	Contig_4
